BATCH 24 - 28 (SEM 4) - Sprint 2,,,,,,
Date,Subject,Mode of Exam,Time Slot ,Roll Number,No. of Students,Class Details
23/06/2026,Amazon Web Services  / GCP,Theory ,10:00 AM - 10:30 AM,150096724001 to 150096724026,18,
,,Theory ,10:00 AM - 10:30 AM,150096724027 to 150096724056,19,
,,Theory ,10:00 AM - 10:30 AM,150096724057 to 150096724077,19,
,,Theory ,10:00 AM - 10:30 AM,150096724078 to 150096724097,20,
,,Theory ,10:00 AM - 10:30 AM,150096724098 to 150096724116,18,
,,Theory ,10:00 AM - 10:30 AM,"150096724117 to 150096724136, 150096725210",19,
,,Theory ,10:00 AM - 10:30 AM,"150096724137 to 150096724158, 150096725158",21,
,,Theory ,10:00 AM - 10:30 AM,"150096724159 to 150096724183, 150096725163",20,
,System Design,Theory ,11:30 AM - 12:00PM,150096724001 to 150096724026,18,
,,Theory ,11:30 AM - 12:00PM,150096724027 to 150096724056,19,
,,Theory ,11:30 AM - 12:00PM,150096724057 to 150096724077,19,
,,Theory ,11:30 AM - 12:00PM,150096724078 to 150096724097,20,
,,Theory ,11:30 AM - 12:00PM,150096724098 to 150096724116,18,
,,Theory ,11:30 AM - 12:00PM,"150096724117 to 150096724136, 150096725210",19,
,,Theory ,11:30 AM - 12:00PM,"150096724137 to 150096724158, 150096725158",21,
,,Theory ,11:30 AM - 12:00PM,"150096724159 to 150096724183, 150096725163",20,
Date,Subject,Mode of Exam,Time Slot ,Roll Number,,
24/06/2026,DevOps,Theory ,10:00 AM - 10:30 AM,150096724001 to 150096724026,18,
,,Theory ,10:00 AM - 10:30 AM,150096724027 to 150096724056,19,
,,Theory ,10:00 AM - 10:30 AM,150096724057 to 150096724077,19,
,,Theory ,10:00 AM - 10:30 AM,150096724078 to 150096724097,20,
,,Theory ,10:00 AM - 10:30 AM,150096724098 to 150096724116,18,
,,Theory ,10:00 AM - 10:30 AM,"150096724117 to 150096724136, 150096725210",19,
,,Theory ,10:00 AM - 10:30 AM,"150096724137 to 150096724158, 150096725158",21,
,,Theory ,10:00 AM - 10:30 AM,"150096724159 to 150096724183, 150096725163",20,
